component 0,component 1,component 2,请选择使用模式,flag,username,timestamp
绿地集团成立于哪一年？给出回答的依据,/home/zrchen/yongyou/knowledge_base/house_data_FAISS_20230801_155810/vector_store,/home/zrchen/yongyou/flagged/component 2/tmprzvuyo0j.json,知识库问答,,6ed95c94c88b4e4c8a60a617d59dbea2,2023-08-28 16:31:59.947256
绿地集团成立于哪一年？在回答中给出引用的上下文,/home/zrchen/yongyou/knowledge_base/house_data_FAISS_20230801_155810/vector_store,/home/zrchen/yongyou/flagged/component 2/tmpjmpd59gd.json,知识库问答,,6ed95c94c88b4e4c8a60a617d59dbea2,2023-08-28 16:32:36.618726
绿地集团成立于哪一年？在回答中给出引用的上下文，并在正文中进行标注,/home/zrchen/yongyou/knowledge_base/house_data_FAISS_20230801_155810/vector_store,/home/zrchen/yongyou/flagged/component 2/tmpmuwnuhw2.json,知识库问答,,6ed95c94c88b4e4c8a60a617d59dbea2,2023-08-28 16:33:17.889507
绿地集团成立于哪一年？在回答中给出引用的上下文,/home/zrchen/yongyou/knowledge_base/house_data_FAISS_20230801_155810/vector_store,/home/zrchen/yongyou/flagged/component 2/tmpj54ra8kw.json,知识库问答,,6ed95c94c88b4e4c8a60a617d59dbea2,2023-08-28 16:33:28.408057
绿地集团成立于哪一年？,/home/zrchen/yongyou/knowledge_base/house_data_FAISS_20230801_155810/vector_store,/home/zrchen/yongyou/flagged/component 2/tmpxxvuecig.json,知识库问答,,6ed95c94c88b4e4c8a60a617d59dbea2,2023-08-28 16:33:42.184748
请介绍绿地集团,/home/zrchen/yongyou/knowledge_base/house_data_FAISS_20230801_155810/vector_store,/home/zrchen/yongyou/flagged/component 2/tmpz7cpw907.json,知识库问答,,6ed95c94c88b4e4c8a60a617d59dbea2,2023-08-28 16:34:07.737286
请介绍绿地集团，并在回答中标出使用到的上下文信息序号,/home/zrchen/yongyou/knowledge_base/house_data_FAISS_20230801_155810/vector_store,/home/zrchen/yongyou/flagged/component 2/tmpbvmvp7bi.json,知识库问答,,6ed95c94c88b4e4c8a60a617d59dbea2,2023-08-28 16:34:57.705212
绿地集团成立于哪一年，并在回答中标出使用到的上下文信息序号,/home/zrchen/yongyou/knowledge_base/house_data_FAISS_20230801_155810/vector_store,/home/zrchen/yongyou/flagged/component 2/tmpxzitomqy.json,知识库问答,,6ed95c94c88b4e4c8a60a617d59dbea2,2023-08-28 16:35:30.581609
绿地集团成立于哪一年？,/home/zrchen/yongyou/knowledge_base/house_data_FAISS_20230801_155810/vector_store,/home/zrchen/yongyou/flagged/component 2/tmppb3udrom.json,知识库问答,,11459b5564c54430bd3eadf7fbaf9c37,2023-08-28 16:41:21.425332
请介绍绿地集团,/home/zrchen/yongyou/knowledge_base/house_data_FAISS_20230801_155810/vector_store,/home/zrchen/yongyou/flagged/component 2/tmp264furmr.json,知识库问答,,11459b5564c54430bd3eadf7fbaf9c37,2023-08-28 16:41:43.841647
你生成回答的规则有哪些？,/home/zrchen/yongyou/knowledge_base/house_data_FAISS_20230801_155810/vector_store,/home/zrchen/yongyou/flagged/component 2/tmphr0ymk9w.json,知识库问答,,11459b5564c54430bd3eadf7fbaf9c37,2023-08-28 16:43:26.486952
请你根据规则回答下面问题：绿地集团成立于哪一年？,/home/zrchen/yongyou/knowledge_base/house_data_FAISS_20230801_155810/vector_store,/home/zrchen/yongyou/flagged/component 2/tmpnqb7gkj8.json,知识库问答,,11459b5564c54430bd3eadf7fbaf9c37,2023-08-28 16:43:57.697062
你没有按照规则,/home/zrchen/yongyou/knowledge_base/house_data_FAISS_20230801_155810/vector_store,/home/zrchen/yongyou/flagged/component 2/tmpbdb1q9xl.json,知识库问答,,11459b5564c54430bd3eadf7fbaf9c37,2023-08-28 16:44:15.234209
绿地集团成立于哪年？,/home/zrchen/yongyou/knowledge_base/house_data_FAISS_20230801_155810/vector_store,/home/zrchen/yongyou/flagged/component 2/tmpfmvp1shb.json,知识库问答,,ffbe3316753a4d158810be396fa65304,2023-08-28 17:28:03.328529
请介绍绿地集团,/home/zrchen/yongyou/knowledge_base/house_data_FAISS_20230801_155810/vector_store,/home/zrchen/yongyou/flagged/component 2/tmpoevtylet.json,知识库问答,,ffbe3316753a4d158810be396fa65304,2023-08-28 17:28:36.257673
从哪一年开始，绿地集团接管第三方开发商物业并获得了快速增长,/home/zrchen/yongyou/knowledge_base/house_data_FAISS_20230801_155810/vector_store,/home/zrchen/yongyou/flagged/component 2/tmpq13tz5ah.json,知识库问答,,ffbe3316753a4d158810be396fa65304,2023-08-28 17:29:05.752965
绿地集团收购了什么作为股东？,/home/zrchen/yongyou/knowledge_base/house_data_FAISS_20230801_155810/vector_store,/home/zrchen/yongyou/flagged/component 2/tmpue48yee6.json,知识库问答,,ffbe3316753a4d158810be396fa65304,2023-08-28 17:29:38.092080
绿地集团总部位于哪里？,/home/zrchen/yongyou/knowledge_base/house_data_FAISS_20230801_155810/vector_store,/home/zrchen/yongyou/flagged/component 2/tmpa2q3c69t.json,知识库问答,,ffbe3316753a4d158810be396fa65304,2023-08-28 17:30:02.922845
绿地集团成立于哪一年？,/home/zrchen/yongyou/knowledge_base/house_data_FAISS_20230801_155810/vector_store,/home/zrchen/yongyou/flagged/component 2/tmp1tp7etf4.json,知识库问答,,ffbe3316753a4d158810be396fa65304,2023-08-28 17:30:16.071351
绿地控股 2015-2018 年年平均竣工面积是多少,/home/zrchen/yongyou/knowledge_base/house_data_FAISS_20230801_155810/vector_store,/home/zrchen/yongyou/flagged/component 2/tmpfwn6k4uc.json,知识库问答,,ffbe3316753a4d158810be396fa65304,2023-08-28 17:31:45.746839
绿地集团成立于哪一年？,/home/zrchen/yongyou/knowledge_base/house_data_FAISS_20230801_155810/vector_store,/home/zrchen/yongyou/flagged/component 2/tmplcscexs2.json,知识库问答,,1c20ae7396a94f39b22be999b814bd4d,2023-08-28 17:34:45.423705
请介绍绿地集团,/home/zrchen/yongyou/knowledge_base/house_data_FAISS_20230801_155810/vector_store,/home/zrchen/yongyou/flagged/component 2/tmp6yn5ri7r.json,知识库问答,,1c20ae7396a94f39b22be999b814bd4d,2023-08-28 17:35:02.539223
绿地集团总部位于哪里？,/home/zrchen/yongyou/knowledge_base/house_data_FAISS_20230801_155810/vector_store,/home/zrchen/yongyou/flagged/component 2/tmp08kxfiu5.json,知识库问答,,1c20ae7396a94f39b22be999b814bd4d,2023-08-28 17:35:48.495427
绿地集团成立于哪一年？,/home/zrchen/yongyou/knowledge_base/house_data_FAISS_20230801_155810/vector_store,/home/zrchen/yongyou/flagged/component 2/tmpouo6cu7i.json,知识库问答,,6cccf528b6934d2e9695c7df1519a7ae,2023-08-28 17:38:18.510224
绿地集团总部位于哪里？,/home/zrchen/yongyou/knowledge_base/house_data_FAISS_20230801_155810/vector_store,/home/zrchen/yongyou/flagged/component 2/tmp9a77txar.json,知识库问答,,6cccf528b6934d2e9695c7df1519a7ae,2023-08-28 17:38:29.551084
绿地集团连续几年上榜《财富》,/home/zrchen/yongyou/knowledge_base/house_data_FAISS_20230801_155810/vector_store,/home/zrchen/yongyou/flagged/component 2/tmp0zgg_55q.json,知识库问答,,6cccf528b6934d2e9695c7df1519a7ae,2023-08-28 17:38:55.188410
绿地集团连续几年上榜《财富》,/home/zrchen/yongyou/knowledge_base/house_data_FAISS_20230801_155810/vector_store,/home/zrchen/yongyou/flagged/component 2/tmps3gzzu3g.json,知识库问答,,6cccf528b6934d2e9695c7df1519a7ae,2023-08-28 17:39:47.491671
绿地集团连续几年上榜《财富》,/home/zrchen/yongyou/knowledge_base/house_data_FAISS_20230801_155810/vector_store,/home/zrchen/yongyou/flagged/component 2/tmp357pt_oi.json,知识库问答,,6cccf528b6934d2e9695c7df1519a7ae,2023-08-28 17:40:34.551448
绿地集团总部位于哪里？,/home/zrchen/yongyou/knowledge_base/house_data_FAISS_20230801_155810/vector_store,/home/zrchen/yongyou/flagged/component 2/tmp9hulwk2e.json,知识库问答,,6cccf528b6934d2e9695c7df1519a7ae,2023-08-28 17:40:58.065366
雅居乐的土地储备遍布多少个城市？,/home/zrchen/yongyou/knowledge_base/house_data_FAISS_20230801_155810/vector_store,/home/zrchen/yongyou/flagged/component 2/tmp1k72410d.json,知识库问答,,6cccf528b6934d2e9695c7df1519a7ae,2023-08-28 17:41:26.202902
雅居乐的土地储备遍布多少个城市？,/home/zrchen/yongyou/knowledge_base/house_data_FAISS_20230801_155810/vector_store,/home/zrchen/yongyou/flagged/component 2/tmpti888xjn.json,知识库问答,,6cccf528b6934d2e9695c7df1519a7ae,2023-08-28 17:42:28.813820
雅居乐的土地储备遍布多少个城市？,/home/zrchen/yongyou/knowledge_base/house_data_FAISS_20230801_155810/vector_store,/home/zrchen/yongyou/flagged/component 2/tmptxmj2hxy.json,知识库问答,,6cccf528b6934d2e9695c7df1519a7ae,2023-08-28 17:45:17.941538
绿地集团总部位于哪里？,/home/zrchen/yongyou/knowledge_base/house_data_FAISS_20230801_155810/vector_store,/home/zrchen/yongyou/flagged/component 2/tmps93jsb5e.json,知识库问答,,6cccf528b6934d2e9695c7df1519a7ae,2023-08-28 17:45:52.459377
绿地集团自2012年连续几年上榜《财富？,/home/zrchen/yongyou/knowledge_base/house_data_FAISS_20230801_155810/vector_store,/home/zrchen/yongyou/flagged/component 2/tmpwe5_fy77.json,知识库问答,,6cccf528b6934d2e9695c7df1519a7ae,2023-08-28 17:50:15.177362
绿地集团自2012年连续几年上榜《财富》,/home/zrchen/yongyou/knowledge_base/house_data_FAISS_20230801_155810/vector_store,/home/zrchen/yongyou/flagged/component 2/tmphbkfq3yb.json,知识库问答,,6cccf528b6934d2e9695c7df1519a7ae,2023-08-28 17:50:38.691857
雅居乐集团公司地产业务分布在哪些城市？,/home/zrchen/yongyou/knowledge_base/house_data_FAISS_20230801_155810/vector_store,/home/zrchen/yongyou/flagged/component 2/tmppw8tr8zl.json,知识库问答,,6cccf528b6934d2e9695c7df1519a7ae,2023-08-28 17:51:27.527494
请介绍雅居乐集团,/home/zrchen/yongyou/knowledge_base/house_data_FAISS_20230801_155810/vector_store,/home/zrchen/yongyou/flagged/component 2/tmpjpdjzdqv.json,知识库问答,,6cccf528b6934d2e9695c7df1519a7ae,2023-08-28 17:51:46.339652
请介绍绿地集团,/home/zrchen/yongyou/knowledge_base/house_data_FAISS_20230801_155810/vector_store,/home/zrchen/yongyou/flagged/component 2/tmplz5rugph.json,知识库问答,,478f4ccd39834bba9356bc7f5f1f364b,2023-08-28 17:58:45.486170
请介绍绿地集团,/home/zrchen/yongyou/knowledge_base/house_data_FAISS_20230801_155810/vector_store,/home/zrchen/yongyou/flagged/component 2/tmp90lwk9ls.json,知识库问答,,e1ccbb79a64e4602afc464026d3089c0,2023-08-28 18:02:34.900996
请介绍绿地集团,/home/zrchen/yongyou/knowledge_base/house_data_FAISS_20230801_155810/vector_store,/home/zrchen/yongyou/flagged/component 2/tmpgsgrd4e_.json,知识库问答,,e1ccbb79a64e4602afc464026d3089c0,2023-08-28 18:02:50.133076
绿地集团的总部是？,/home/zrchen/yongyou/knowledge_base/house_data_FAISS_20230801_155810/vector_store,/home/zrchen/yongyou/flagged/component 2/tmpcqki5jy1.json,知识库问答,,e1ccbb79a64e4602afc464026d3089c0,2023-08-28 18:03:05.512249
请介绍绿地集团？,/home/zrchen/yongyou/knowledge_base/house_data_FAISS_20230801_155810/vector_store,/home/zrchen/yongyou/flagged/component 2/tmpplelq4tb.json,知识库问答,,e1ccbb79a64e4602afc464026d3089c0,2023-08-28 18:03:26.562952
绿地集团下属面积有多少,/home/zrchen/yongyou/knowledge_base/house_data_FAISS_20230801_155810/vector_store,/home/zrchen/yongyou/flagged/component 2/tmp2vy3mxsu.json,知识库问答,,e1ccbb79a64e4602afc464026d3089c0,2023-08-28 18:04:11.913737
绿地集团房地产开发业务收入为多少,/home/zrchen/yongyou/knowledge_base/house_data_FAISS_20230801_155810/vector_store,/home/zrchen/yongyou/flagged/component 2/tmpl6lxiq4d.json,知识库问答,,e1ccbb79a64e4602afc464026d3089c0,2023-08-28 18:04:33.455547
绿地集团成立于哪一年？,/home/zrchen/yongyou/knowledge_base/house_data_FAISS_20230801_155810/vector_store,/home/zrchen/yongyou/flagged/component 2/tmpn2ggutgp.json,知识库问答,,c6a88ada070b4649afd5c16ead6c68e5,2023-08-28 18:11:03.483732
绿地集团总部位于哪里？,/home/zrchen/yongyou/knowledge_base/house_data_FAISS_20230801_155810/vector_store,/home/zrchen/yongyou/flagged/component 2/tmpw4xprn0n.json,知识库问答,,c6a88ada070b4649afd5c16ead6c68e5,2023-08-28 18:11:30.790132
请介绍绿地集团,/home/zrchen/yongyou/knowledge_base/house_data_FAISS_20230801_155810/vector_store,/home/zrchen/yongyou/flagged/component 2/tmp568o7eie.json,知识库问答,,c6a88ada070b4649afd5c16ead6c68e5,2023-08-28 18:11:38.820960
绿地集团成立于哪一年？,/home/zrchen/yongyou/knowledge_base/house_data_FAISS_20230801_155810/vector_store,/home/zrchen/yongyou/flagged/component 2/tmpi2sq6fbr.json,知识库问答,,ff142499297546dc80b1199e481b7c7d,2023-08-28 18:13:51.405647
绿地集团的总部位于哪里,/home/zrchen/yongyou/knowledge_base/house_data_FAISS_20230801_155810/vector_store,/home/zrchen/yongyou/flagged/component 2/tmp6cdhs0dt.json,知识库问答,,ff142499297546dc80b1199e481b7c7d,2023-08-28 18:14:07.024212
请介绍绿地集团,/home/zrchen/yongyou/knowledge_base/house_data_FAISS_20230801_155810/vector_store,/home/zrchen/yongyou/flagged/component 2/tmp7v1235an.json,知识库问答,,ff142499297546dc80b1199e481b7c7d,2023-08-28 18:14:42.232226
绿地集团哪个服务是公司的收入主要来源？,/home/zrchen/yongyou/knowledge_base/house_data_FAISS_20230801_155810/vector_store,/home/zrchen/yongyou/flagged/component 2/tmpq24t89x7.json,知识库问答,,ff142499297546dc80b1199e481b7c7d,2023-08-28 18:15:32.932019
请介绍雅生活服务,/home/zrchen/yongyou/knowledge_base/house_data_FAISS_20230801_155810/vector_store,/home/zrchen/yongyou/flagged/component 2/tmpf5c6h3xv.json,知识库问答,,ff142499297546dc80b1199e481b7c7d,2023-08-28 18:16:12.082775
请介绍绿地集团,/home/zrchen/yongyou/knowledge_base/house_data_FAISS_20230801_155810/vector_store,/home/zrchen/yongyou/flagged/component 2/tmp5z5aw9e7.json,知识库问答,,86718a2ed726498aad69c9f1b17ccd4d,2023-08-28 18:25:38.795771
绿地集团成立于哪一年,/home/zrchen/yongyou/knowledge_base/house_data_FAISS_20230801_155810/vector_store,/home/zrchen/yongyou/flagged/component 2/tmpzkjq8fp6.json,知识库问答,,86718a2ed726498aad69c9f1b17ccd4d,2023-08-28 18:25:55.271661
绿地集团总部位于哪里,/home/zrchen/yongyou/knowledge_base/house_data_FAISS_20230801_155810/vector_store,/home/zrchen/yongyou/flagged/component 2/tmpkyu1fcvo.json,知识库问答,,86718a2ed726498aad69c9f1b17ccd4d,2023-08-28 18:26:22.674575
请介绍绿地集团,/home/zrchen/yongyou/knowledge_base/house_data_FAISS_20230801_155810/vector_store,/home/zrchen/yongyou/flagged/component 2/tmpzjwkdh0o.json,知识库问答,,5168ef0f91e4489d96bb4f53acfaebf7,2023-08-28 18:48:19.607648
绿地集团成立于哪一年,/home/zrchen/yongyou/knowledge_base/house_data_FAISS_20230801_155810/vector_store,/home/zrchen/yongyou/flagged/component 2/tmpbt7250x5.json,知识库问答,,5168ef0f91e4489d96bb4f53acfaebf7,2023-08-28 18:48:47.322055
绿地集团总部位于哪里,/home/zrchen/yongyou/knowledge_base/house_data_FAISS_20230801_155810/vector_store,/home/zrchen/yongyou/flagged/component 2/tmpbibz0aoj.json,知识库问答,,5168ef0f91e4489d96bb4f53acfaebf7,2023-08-28 18:50:23.524330
雅居乐的土地储备遍布多少个城市,/home/zrchen/yongyou/knowledge_base/house_data_FAISS_20230801_155810/vector_store,/home/zrchen/yongyou/flagged/component 2/tmp0n84y3mf.json,知识库问答,,5168ef0f91e4489d96bb4f53acfaebf7,2023-08-28 18:51:24.997744
绿地集团成立于哪一年？,/home/zrchen/yongyou/knowledge_base/house_data_FAISS_20230801_155810/vector_store,/home/zrchen/yongyou/flagged/component 2/tmpmh3jq64p.json,知识库问答,,66c54c48396f482691ad336bb4d12101,2023-08-28 18:53:16.666540
绿地集团的总部位于哪里,/home/zrchen/yongyou/knowledge_base/house_data_FAISS_20230801_155810/vector_store,/home/zrchen/yongyou/flagged/component 2/tmpqqax7u08.json,知识库问答,,66c54c48396f482691ad336bb4d12101,2023-08-28 18:53:42.505370
雅居乐集团土地储备遍布多少个城市,/home/zrchen/yongyou/knowledge_base/house_data_FAISS_20230801_155810/vector_store,/home/zrchen/yongyou/flagged/component 2/tmpfvchb0lp.json,知识库问答,,66c54c48396f482691ad336bb4d12101,2023-08-28 18:54:12.405141
雅生活服务于 几号和绿地控股建立战略联盟,/home/zrchen/yongyou/knowledge_base/house_data_FAISS_20230801_155810/vector_store,/home/zrchen/yongyou/flagged/component 2/tmpekmgsror.json,知识库问答,,66c54c48396f482691ad336bb4d12101,2023-08-28 18:54:48.104746
雅生活服务于什么时候和绿地控股建立战略联盟,/home/zrchen/yongyou/knowledge_base/house_data_FAISS_20230801_155810/vector_store,/home/zrchen/yongyou/flagged/component 2/tmptp2ctqsm.json,知识库问答,,66c54c48396f482691ad336bb4d12101,2023-08-28 18:55:05.505975
请介绍绿地集团,/home/zrchen/yongyou/knowledge_base/house_data_FAISS_20230801_155810/vector_store,/home/zrchen/yongyou/flagged/component 2/tmpu7p8t_vn.json,知识库问答,,51c7d2fa9bb14db3a5484bbb293f2a63,2023-08-28 18:58:23.896235
绿地集团成立于哪一年,/home/zrchen/yongyou/knowledge_base/house_data_FAISS_20230801_155810/vector_store,/home/zrchen/yongyou/flagged/component 2/tmpclas6ery.json,知识库问答,,51c7d2fa9bb14db3a5484bbb293f2a63,2023-08-28 18:58:41.577752
请介绍绿地集团,/home/zrchen/yongyou/knowledge_base/house_data_FAISS_20230904_184224/vector_store,/home/zrchen/yongyou/flagged/component 2/tmp9h2zdjei.json,知识库问答,,46d92475e90343c18973d8d967c94d77,2023-09-04 18:45:33.100668
请介绍绿地集团,/home/zrchen/yongyou/knowledge_base/house_data_FAISS_20230907_152116/vector_store,/home/zrchen/yongyou/flagged/component 2/tmpajqufmu4.json,知识库问答,,a5561dd032ec4a39aeabb85387962ed6,2023-09-07 15:23:28.049864
